Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.05,-.40,-.12,-.01,-.81,-.52,-.31,-.13,-.11,-.04,.05,.68
1881,-.09,-.19,.00,-.37,.11,-.07,-.93,-.49,-.21,.11,.10,-.05,-.07,.60
